elapsed_s,gt_label,attack_episode_id,total_packets,total_packets_delta,forwarded_packets_delta,dropped_packets_delta,throughput_ratio,pkt_rate_pps,total_flows,total_bytes,flow_arrival_rate,src_entropy,top_source_dominance,active_sources,syn_ratio_top_src,pps_top_src,ctrl_cpu_avg,ctrl_cpu_max,python_cpu_pct,python_mem_mb
316.6,1,2,31684,31684.0,31684.0,0.0,1.0,15842.0,59,120279251,0.0,1.4826,0.554,6,0.7627,24595.0,27.18,33.01,17.0,1229.4
320.9,1,2,33329,33329.0,33329.0,0.0,1.0,16664.5,38,121062355,2.0,1.4129,0.5645,5,0.75,26076.0,20.46,47.84,14.4,1229.4
324.9,1,2,35578,35578.0,35578.0,0.0,1.0,17789.0,58,122411269,10.0,1.4029,0.5598,5,0.7917,27659.0,7.18,10.15,11.9,1229.4
329.2,1,2,38458,38458.0,38458.0,0.0,1.0,19229.0,58,124056134,0.0,1.377,0.5684,5,0.7917,30539.0,6.0,7.78,14.1,1229.4
333.2,1,2,39753,39753.0,39753.0,0.0,1.0,19876.5,58,124802327,0.5,1.3613,0.5835,5,0.7917,32481.5,3.36,3.46,15.6,1229.4
336.8,1,2,40887,40887.0,40887.0,0.0,1.0,20443.5,56,125468258,0.0,1.3473,0.5973,5,0.8261,34393.5,26.27,36.31,15.4,1229.4
341.2,1,2,42159,42159.0,42159.0,0.0,1.0,21079.5,56,126219207,0.0,1.3315,0.609,5,0.8261,36109.5,10.83,23.25,13.7,1231.6
345.2,1,2,43103,43103.0,43103.0,0.0,1.0,21551.5,45,126782710,2.5,1.3194,0.8061,5,0.7812,37537.5,4.51,7.09,21.4,1231.6
349.8,1,2,44063,44063.0,44063.0,0.0,1.0,22031.5,45,127336821,0.0,1.3075,0.8119,5,0.7812,38977.5,2.53,3.09,13.5,1231.7
354.1,1,2,30720,30720.0,30720.0,0.0,1.0,15360.0,64,119649694,0.0,0.8447,0.8086,5,0.7407,39547.5,2.88,3.16,17.9,1231.7
358.0,1,2,31740,31740.0,31740.0,0.0,1.0,15870.0,64,120236418,0.0,0.8877,0.7992,5,0.7407,40312.5,3.96,5.68,15.7,1231.7
361.4,1,2,31740,31740.0,31740.0,0.0,1.0,15870.0,64,120236418,0.0,0.8877,0.7992,5,0.7407,40312.5,22.82,54.97,14.9,1231.7
364.9,1,2,31731,31731.0,31731.0,0.0,1.0,15865.5,62,120234445,0.0,0.8868,0.7993,5,0.7407,40312.5,8.64,11.32,12.0,1231.7
369.0,1,2,31731,31731.0,31731.0,0.0,1.0,15865.5,62,120234445,0.0,0.8868,0.7993,5,0.7407,40312.5,4.23,4.83,8.4,1231.7
373.0,1,2,31911,31911.0,31911.0,0.0,1.0,15955.5,65,121365691,1.0,0.9082,0.7951,5,0.7407,40312.5,3.58,3.8,9.8,1231.7
377.1,0,0,32412,32412.0,32412.0,0.0,1.0,16206.0,67,126603047,0.0,0.9649,0.7835,5,0.7407,40312.5,2.83,3.57,9.3,1231.7
381.2,0,0,46807,46807.0,46807.0,0.0,1.0,23403.5,59,141760176,0.0,1.3867,0.7024,5,0.8,26877.5,3.58,4.39,7.4,1231.7
385.2,0,0,47127,47127.0,47127.0,0.0,1.0,23563.5,59,148670340,0.0,1.4046,0.6937,5,0.8,26877.5,3.03,3.5,8.9,1231.7
389.3,0,0,1760,1760.0,1760.0,0.0,1.0,880.0,10,27159062,0.0,2.0312,0.3398,5,0.3,895.0,4.93,6.1,8.4,1231.7
393.4,0,0,2134,2134.0,2134.0,0.0,1.0,1067.0,11,34797210,0.0,2.0939,0.3275,5,0.2308,1046.5,2.87,2.97,9.1,1231.7
397.4,0,0,2443,2443.0,2443.0,0.0,1.0,1221.5,15,41692051,1.0,2.1284,0.3275,6,0.4737,1198.0,4.69,6.27,8.1,1231.7
401.5,0,0,2718,2718.0,2718.0,0.0,1.0,1359.0,13,48318295,0.0,2.1373,0.3258,6,0.4706,1327.0,4.71,5.98,7.6,1231.7
405.5,0,0,2894,2894.0,2894.0,0.0,1.0,1447.0,17,51675974,2.0,2.1564,0.3222,6,0.5,1395.5,2.88,3.56,8.1,1231.7
409.6,0,0,3071,3071.0,3071.0,0.0,1.0,1535.5,14,54941030,0.5,2.1706,0.3254,6,0.4667,1446.0,5.09,6.6,7.9,1231.7
413.7,0,0,2956,2956.0,2956.0,0.0,1.0,1478.0,13,57742934,0.0,2.0615,0.3416,6,0.4286,1509.5,3.4,3.89,8.4,1231.7
417.7,0,0,3129,3129.0,3129.0,0.0,1.0,1564.5,11,60876846,2.0,2.0812,0.4067,5,0.0,1321.0,3.67,4.02,7.2,1231.7
421.8,0,0,2097,2097.0,2097.0,0.0,1.0,1048.5,11,40352754,1.0,1.7805,0.4892,5,0.0,1444.0,4.72,6.71,8.4,1231.7
425.8,0,0,2077,2077.0,2077.0,0.0,1.0,1038.5,7,43063103,0.0,1.4938,0.4944,4,0.0,1552.0,13.81,31.94,12.5,1231.7
429.9,0,0,2373,2373.0,2373.0,0.0,1.0,1186.5,35,44412014,14.0,1.778,0.4416,5,0.0,1586.5,15.55,22.7,13.7,1231.7
434.5,1,3,4914,4914.0,4914.0,0.0,1.0,2457.0,52,45981954,8.5,1.7273,0.4231,5,0.5294,4637.5,7.52,10.14,14.4,1227.2
