step,elapsed_s,gt_label,attack_episode_id,raw_prob,attack_prob,binary_pred,is_tp,is_fp,is_tn,is_fn,cum_tp,cum_fp,cum_tn,cum_fn,rolling_precision,rolling_recall,rolling_f1
104,434.5,1,3,0.991653,0.993262,1,1,0,0,0,48,3,48,6,0.9412,0.8889,0.9143
105,438.4,1,3,0.998687,0.999027,1,1,0,0,0,49,3,48,6,0.9423,0.8909,0.9159
106,442.2,1,3,0.999066,0.999318,1,1,0,0,0,50,3,48,6,0.9434,0.8929,0.9174
107,445.8,1,3,0.999294,0.999491,1,1,0,0,0,51,3,48,6,0.9444,0.8947,0.9189
108,449.5,1,3,0.998157,0.998612,1,1,0,0,0,52,3,48,6,0.9455,0.8966,0.9204
109,453.7,1,3,0.998424,0.998822,1,1,0,0,0,53,3,48,6,0.9464,0.8983,0.9217
110,457.8,1,3,0.997157,0.997816,1,1,0,0,0,54,3,48,6,0.9474,0.9,0.9231
111,461.9,1,3,0.889857,0.898771,1,1,0,0,0,55,3,48,6,0.9483,0.9016,0.9244
112,465.9,1,3,0.997031,0.997716,1,1,0,0,0,56,3,48,6,0.9492,0.9032,0.9256
113,471.9,1,3,0.994967,0.996032,1,1,0,0,0,57,3,48,6,0.95,0.9048,0.9268
114,475.5,1,3,0.999354,0.999536,1,1,0,0,0,58,3,48,6,0.9508,0.9062,0.928
115,480.9,1,3,0.99952,0.99966,1,1,0,0,0,59,3,48,6,0.9516,0.9077,0.9291
116,484.5,1,3,0.998516,0.998893,1,1,0,0,0,60,3,48,6,0.9524,0.9091,0.9302
117,488.5,1,3,0.990615,0.992382,1,1,0,0,0,61,3,48,6,0.9531,0.9104,0.9313
118,492.9,1,3,0.99196,0.993521,1,1,0,0,0,62,3,48,6,0.9538,0.9118,0.9323
119,498.9,1,3,0.988316,0.990418,1,1,0,0,0,63,3,48,6,0.9545,0.913,0.9333
120,503.2,1,3,0.992106,0.993645,1,1,0,0,0,64,3,48,6,0.9552,0.9143,0.9343
121,507.2,1,3,0.998589,0.998951,1,1,0,0,0,65,3,48,6,0.9559,0.9155,0.9353
122,511.6,1,3,0.998703,0.999039,1,1,0,0,0,66,3,48,6,0.9565,0.9167,0.9362
123,515.1,1,3,0.992285,0.993796,1,1,0,0,0,67,3,48,6,0.9571,0.9178,0.9371
124,518.3,1,3,0.992117,0.993654,1,1,0,0,0,68,3,48,6,0.9577,0.9189,0.9379
125,521.6,1,3,0.005015,0.003953,0,0,0,0,1,68,3,48,7,0.9577,0.9067,0.9315
126,525.6,1,3,0.002823,0.002167,0,0,0,0,1,68,3,48,8,0.9577,0.8947,0.9252
127,529.7,0,0,0.010422,0.008501,0,0,0,1,0,68,3,49,8,0.9577,0.8947,0.9252
128,533.8,0,0,0.012801,0.010544,0,0,0,1,0,68,3,50,8,0.9577,0.8947,0.9252
129,537.8,0,0,0.012329,0.010137,0,0,0,1,0,68,3,51,8,0.9577,0.8947,0.9252
130,541.9,0,0,0.019935,0.016773,0,0,0,1,0,68,3,52,8,0.9577,0.8947,0.9252
131,546.0,0,0,0.005287,0.004178,0,0,0,1,0,68,3,53,8,0.9577,0.8947,0.9252
132,550.0,0,0,0.003662,0.002846,0,0,0,1,0,68,3,54,8,0.9577,0.8947,0.9252
133,554.1,0,0,0.004608,0.003619,0,0,0,1,0,68,3,55,8,0.9577,0.8947,0.9252
134,558.1,0,0,0.001272,0.000942,0,0,0,1,0,68,3,56,8,0.9577,0.8947,0.9252
135,562.2,0,0,0.001308,0.000969,0,0,0,1,0,68,3,57,8,0.9577,0.8947,0.9252
136,566.3,0,0,0.001604,0.0012,0,0,0,1,0,68,3,58,8,0.9577,0.8947,0.9252
137,570.3,0,0,0.003373,0.00261,0,0,0,1,0,68,3,59,8,0.9577,0.8947,0.9252
138,574.4,0,0,0.002713,0.002079,0,0,0,1,0,68,3,60,8,0.9577,0.8947,0.9252
139,578.5,0,0,0.001598,0.001195,0,0,0,1,0,68,3,61,8,0.9577,0.8947,0.9252
140,582.5,0,0,0.001189,0.000877,0,0,0,1,0,68,3,62,8,0.9577,0.8947,0.9252
141,586.6,0,0,0.001482,0.001105,0,0,0,1,0,68,3,63,8,0.9577,0.8947,0.9252
142,590.7,0,0,0.00124,0.000917,0,0,0,1,0,68,3,64,8,0.9577,0.8947,0.9252
143,594.7,0,0,0.002459,0.001876,0,0,0,1,0,68,3,65,8,0.9577,0.8947,0.9252
144,598.8,0,0,0.002082,0.001576,0,0,0,1,0,68,3,66,8,0.9577,0.8947,0.9252
