elapsed_s,gt_label,attack_episode_id,total_packets,total_packets_delta,forwarded_packets_delta,dropped_packets_delta,throughput_ratio,pkt_rate_pps,total_flows,total_bytes,flow_arrival_rate,src_entropy,top_source_dominance,active_sources,syn_ratio_top_src,pps_top_src,ctrl_cpu_avg,ctrl_cpu_max,python_cpu_pct,python_mem_mb
296.7,1,2,13442,13442.0,13442.0,0.0,1.0,6721.0,28,8281404,1.0,0.8952,0.7433,6,0.7778,5321.0,6.14,8.87,11.8,1195.2
300.8,1,2,15232,15232.0,15232.0,0.0,1.0,7616.0,29,15279269,0.0,0.7701,0.7911,6,0.7778,6245.5,40.78,43.16,15.6,1195.2
304.8,1,2,15968,15968.0,15968.0,0.0,1.0,7984.0,29,17773003,0.0,0.7675,0.7912,6,0.7778,6578.0,3.26,3.82,8.8,1195.2
308.9,1,2,17853,17853.0,17853.0,0.0,1.0,8926.5,29,18996696,0.0,0.717,0.8117,6,0.7778,7516.0,22.1,29.09,16.2,1187.7
313.0,1,2,19458,19458.0,19458.0,0.0,1.0,9729.0,29,19944728,0.0,0.6776,0.8266,6,0.7778,8318.0,25.1,28.55,16.0,1188.8
317.1,1,2,20170,20170.0,20170.0,0.0,1.0,10085.0,27,20368772,0.0,0.6583,0.8335,5,0.7778,8678.0,49.4,98.93,8.6,1188.8
321.1,1,2,21814,21814.0,21814.0,0.0,1.0,10907.0,42,21349313,7.5,0.644,0.8416,6,0.7812,9479.0,4.07,4.77,14.1,1191.4
325.2,1,2,21897,21897.0,21897.0,0.0,1.0,10948.5,42,21474809,0.0,0.6723,0.8327,6,0.7812,9479.0,17.6,31.46,14.0,1191.4
329.3,1,2,22093,22093.0,22093.0,0.0,1.0,11046.5,39,21666795,0.0,0.6943,0.8237,6,0.7742,9535.5,36.31,58.72,13.1,1192.7
333.3,1,2,21430,21430.0,21430.0,0.0,1.0,10715.0,34,21425351,0.0,0.2921,0.9088,6,0.8621,10309.5,16.45,23.1,10.9,1192.7
337.4,1,2,21755,21755.0,21755.0,0.0,1.0,10877.5,34,21696807,0.0,0.3115,0.8998,6,0.8621,10429.5,18.77,21.04,12.1,1192.7
341.4,1,2,21848,21848.0,21848.0,0.0,1.0,10924.0,36,21819902,1.0,0.3322,0.8886,4,0.8621,10429.5,12.74,15.7,9.1,1192.7
345.5,1,2,21732,21732.0,21732.0,0.0,1.0,10866.0,14,21945072,0.5,0.3003,0.9084,5,0.8333,10402.0,34.3,46.06,8.1,1192.7
349.6,1,2,21817,21817.0,21817.0,0.0,1.0,10908.5,14,22073592,1.0,0.3191,0.8988,5,0.8333,10402.0,15.54,24.93,8.6,1192.7
353.6,0,0,21875,21875.0,21875.0,0.0,1.0,10937.5,16,22148207,0.0,0.3346,0.8921,6,0.8333,10402.0,9.53,10.8,8.9,1192.8
357.7,0,0,21841,21841.0,21841.0,0.0,1.0,10920.5,17,13497255,0.0,0.3345,0.8653,6,0.8333,10402.0,12.79,13.84,9.6,1192.8
361.8,0,0,1019,1019.0,1019.0,0.0,1.0,509.5,7,1362754,1.0,1.2267,0.6489,4,0.0,1044.0,10.6,11.95,8.1,1192.8
365.8,0,0,981,981.0,981.0,0.0,1.0,490.5,7,1305298,1.5,1.2533,0.5522,4,0.0,690.5,14.64,15.6,8.1,1192.8
369.9,0,0,304,304.0,304.0,0.0,1.0,152.0,5,291975,1.5,1.0285,0.6074,3,0.0,99.0,9.82,11.29,6.9,1192.8
373.9,0,0,304,304.0,304.0,0.0,1.0,152.0,5,291975,0.0,1.0285,0.6149,3,0.0,99.0,9.71,11.18,6.7,1192.8
378.0,0,0,71,71.0,71.0,0.0,1.0,35.5,6,81302,1.0,1.1394,0.7321,3,0.0,76.5,10.66,13.41,9.1,1193.3
382.1,0,0,134,134.0,134.0,0.0,1.0,67.0,5,185411,0.5,0.5527,0.903,3,0.0,181.5,14.21,20.03,8.4,1193.8
386.1,0,0,217,217.0,217.0,0.0,1.0,108.5,5,310907,0.0,0.3847,0.9459,3,0.0,306.0,10.68,12.77,8.6,1193.8
390.2,0,0,293,293.0,293.0,0.0,1.0,146.5,3,440234,0.5,0.3052,0.9522,3,0.0,418.5,12.31,13.94,7.6,1195.4
394.2,0,0,392,392.0,392.0,0.0,1.0,196.0,3,589922,0.0,0.4964,0.902,3,0.0,529.5,11.43,12.79,7.6,1195.4
398.3,0,0,509,509.0,509.0,0.0,1.0,254.5,7,743599,2.0,0.6647,0.8616,3,0.6667,657.0,10.45,11.17,8.1,1195.4
402.4,0,0,602,602.0,602.0,0.0,1.0,301.0,6,886997,0.0,0.6863,0.8455,3,0.6667,763.5,11.99,15.37,7.4,1195.4
406.4,0,0,745,745.0,745.0,0.0,1.0,372.5,7,1103213,0.5,0.6971,0.8376,3,0.5,936.0,11.53,13.26,9.3,1195.4
410.5,0,0,982,982.0,982.0,0.0,1.0,491.0,9,1514787,1.0,0.9761,0.7974,4,0.5,1173.0,13.07,14.11,8.6,1195.4
414.6,0,0,1203,1203.0,1203.0,0.0,1.0,601.5,7,3813057,1.0,1.272,0.7298,5,0.0,1315.5,10.83,13.25,7.6,1195.4
418.6,0,0,1578,1578.0,1578.0,0.0,1.0,789.0,9,10023665,0.0,1.7278,0.6108,5,0.0,1444.5,78.42,97.44,9.3,1195.4
422.7,0,0,2095,2095.0,2095.0,0.0,1.0,1047.5,44,14591445,17.5,2.001,0.5063,5,0.0,1516.5,29.19,43.75,17.2,1195.4
426.8,1,3,4070,4070.0,4070.0,0.0,1.0,2035.0,44,22318182,22.0,2.0421,0.3113,5,0.7368,1936.0,16.07,39.05,14.9,1195.4
431.5,1,3,7102,7102.0,7102.0,0.0,1.0,3551.0,49,36679410,1.0,1.9271,0.3766,5,0.7619,4183.0,3.64,5.35,26.0,1195.4
435.7,1,3,7547,7547.0,7547.0,0.0,1.0,3773.5,49,43198866,0.0,1.9708,0.3913,5,0.7619,4816.0,6.65,12.25,16.1,1195.4
439.3,1,3,7765,7765.0,7765.0,0.0,1.0,3882.5,49,49369314,0.0,1.9915,0.4108,5,0.7619,5450.0,14.47,22.86,16.2,1195.4
443.2,1,3,7982,7982.0,7982.0,0.0,1.0,3991.0,49,55539696,1.5,2.0074,0.4501,5,0.7619,6104.5,10.59,22.43,15.4,1195.4
447.3,1,3,8250,8250.0,8250.0,0.0,1.0,4125.0,49,63154896,0.0,2.022,0.4671,5,0.7619,6885.0,26.96,35.67,16.7,1188.9
451.4,1,3,8359,8359.0,8359.0,0.0,1.0,4179.5,49,66371430,0.0,2.027,0.4747,5,0.7619,7245.0,3.09,4.04,10.1,1188.9
455.4,1,3,8351,8351.0,8351.0,0.0,1.0,4175.5,42,66376838,0.0,2.0279,0.5197,5,0.7241,6932.5,24.17,26.14,15.7,1188.9
459.5,1,3,8352,8352.0,8352.0,0.0,1.0,4176.0,42,66378352,0.0,2.028,0.545,5,0.7241,7675.0,2.83,3.29,11.3,1188.9
463.7,1,3,19556,19556.0,19556.0,0.0,1.0,9778.0,33,72879381,8.5,1.3121,0.5885,4,0.75,6854.0,28.86,37.51,16.3,1191.5
467.8,1,3,20659,20659.0,20659.0,0.0,1.0,10329.5,33,73550188,0.0,1.2687,0.607,4,0.75,7405.0,14.36,28.76,14.6,1191.6
471.8,1,3,21620,21620.0,21620.0,0.0,1.0,10810.0,33,74111649,0.0,1.2331,0.6385,4,0.75,7885.5,3.17,4.27,9.8,1193.9
476.0,1,3,23780,23780.0,23780.0,0.0,1.0,11890.0,33,75371218,0.0,1.1602,0.6676,4,0.75,8965.5,29.41,34.93,16.4,1194.0
480.3,1,3,23568,23568.0,23568.0,0.0,1.0,11784.0,36,75631530,1.5,1.1035,0.685,4,0.7143,9154.0,18.27,35.3,16.8,1194.0
484.3,1,3,24772,24772.0,24772.0,0.0,1.0,12386.0,36,76437056,0.0,1.0853,0.6875,4,0.7143,9694.0,3.19,3.54,11.7,1195.2
488.7,1,3,27218,27218.0,27218.0,0.0,1.0,13609.0,40,78117089,2.0,1.0547,0.6914,4,0.76,10778.5,4.16,5.22,12.3,1195.2
492.1,1,3,28562,28562.0,28562.0,0.0,1.0,14281.0,40,79020885,0.0,1.0382,0.7201,4,0.76,11378.5,25.16,36.35,16.5,1195.2
