step,elapsed_s,gt_label,attack_episode_id,raw_prob,attack_prob,binary_pred,is_tp,is_fp,is_tn,is_fn,cum_tp,cum_fp,cum_tn,cum_fn,rolling_precision,rolling_recall,rolling_f1
84,337.4,1,2,0.136101,0.126582,0,0,0,0,1,28,0,36,21,1.0,0.5714,0.7273
85,341.4,1,2,0.002462,0.001878,0,0,0,0,1,28,0,36,22,1.0,0.56,0.7179
86,345.5,1,2,0.000947,0.000692,0,0,0,0,1,28,0,36,23,1.0,0.549,0.7089
87,349.6,1,2,0.0009,0.000656,0,0,0,0,1,28,0,36,24,1.0,0.5385,0.7
88,353.6,0,0,0.001294,0.000959,0,0,0,1,0,28,0,37,24,1.0,0.5385,0.7
89,357.7,0,0,0.010005,0.008145,0,0,0,1,0,28,0,38,24,1.0,0.5385,0.7
90,361.8,0,0,0.002397,0.001827,0,0,0,1,0,28,0,39,24,1.0,0.5385,0.7
91,365.8,0,0,0.00321,0.002479,0,0,0,1,0,28,0,40,24,1.0,0.5385,0.7
92,369.9,0,0,0.003652,0.002837,0,0,0,1,0,28,0,41,24,1.0,0.5385,0.7
93,373.9,0,0,0.002971,0.002286,0,0,0,1,0,28,0,42,24,1.0,0.5385,0.7
94,378.0,0,0,0.002412,0.001839,0,0,0,1,0,28,0,43,24,1.0,0.5385,0.7
95,382.1,0,0,0.001864,0.001404,0,0,0,1,0,28,0,44,24,1.0,0.5385,0.7
96,386.1,0,0,0.001672,0.001253,0,0,0,1,0,28,0,45,24,1.0,0.5385,0.7
97,390.2,0,0,0.001501,0.00112,0,0,0,1,0,28,0,46,24,1.0,0.5385,0.7
98,394.2,0,0,0.001236,0.000914,0,0,0,1,0,28,0,47,24,1.0,0.5385,0.7
99,398.3,0,0,0.001618,0.001211,0,0,0,1,0,28,0,48,24,1.0,0.5385,0.7
100,402.4,0,0,0.002913,0.002239,0,0,0,1,0,28,0,49,24,1.0,0.5385,0.7
101,406.4,0,0,0.002875,0.002209,0,0,0,1,0,28,0,50,24,1.0,0.5385,0.7
102,410.5,0,0,0.003019,0.002325,0,0,0,1,0,28,0,51,24,1.0,0.5385,0.7
103,414.6,0,0,0.002122,0.001608,0,0,0,1,0,28,0,52,24,1.0,0.5385,0.7
104,418.6,0,0,0.001799,0.001353,0,0,0,1,0,28,0,53,24,1.0,0.5385,0.7
105,422.7,0,0,0.00091,0.000663,0,0,0,1,0,28,0,54,24,1.0,0.5385,0.7
106,426.8,1,3,0.957927,0.963262,1,1,0,0,0,29,0,54,24,1.0,0.5472,0.7073
107,431.5,1,3,0.997767,0.998304,1,1,0,0,0,30,0,54,24,1.0,0.5556,0.7143
108,435.7,1,3,0.997921,0.998426,1,1,0,0,0,31,0,54,24,1.0,0.5636,0.7209
109,439.3,1,3,0.998432,0.998828,1,1,0,0,0,32,0,54,24,1.0,0.5714,0.7273
110,443.2,1,3,0.353774,0.347578,0,0,0,0,1,32,0,54,25,1.0,0.5614,0.7191
111,447.3,1,3,0.43256,0.429553,0,0,0,0,1,32,0,54,26,1.0,0.5517,0.7111
112,451.4,1,3,0.257445,0.248406,0,0,0,0,1,32,0,54,27,1.0,0.5424,0.7033
113,455.4,1,3,0.796439,0.806246,0,0,0,0,1,32,0,54,28,1.0,0.5333,0.6957
114,459.5,1,3,0.055004,0.048697,0,0,0,0,1,32,0,54,29,1.0,0.5246,0.6882
115,463.7,1,3,0.029285,0.02511,0,0,0,0,1,32,0,54,30,1.0,0.5161,0.6809
116,467.8,1,3,0.19312,0.183255,0,0,0,0,1,32,0,54,31,1.0,0.5079,0.6737
117,471.8,1,3,0.032621,0.02812,0,0,0,0,1,32,0,54,32,1.0,0.5,0.6667
118,476.0,1,3,0.087722,0.079619,0,0,0,0,1,32,0,54,33,1.0,0.4923,0.6598
119,480.3,1,3,0.413695,0.40988,0,0,0,0,1,32,0,54,34,1.0,0.4848,0.6531
120,484.3,1,3,0.27296,0.264268,0,0,0,0,1,32,0,54,35,1.0,0.4776,0.6465
121,488.7,1,3,0.178227,0.16834,0,0,0,0,1,32,0,54,36,1.0,0.4706,0.64
122,492.1,1,3,0.333218,0.326294,0,0,0,0,1,32,0,54,37,1.0,0.4638,0.6337
123,496.5,1,3,0.592251,0.596316,0,0,0,0,1,32,0,54,38,1.0,0.4571,0.6275
124,500.6,1,3,0.262252,0.253314,0,0,0,0,1,32,0,54,39,1.0,0.4507,0.6214
